crate,file,item_kind,item_name,outcome,gap_summary
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,is_blake3_512_cid,refuses-with-typed-reason,unsupported-let-pattern: unsupported let-binding pattern
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_cid,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: json_jcs
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_jcs,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: json_to_cvalue
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_to_cvalue,refuses-with-typed-reason,block-without-tail: block expression has no single tail expression
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,serializable_cid,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_jcs
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,serializable_jcs,handles-partially-with-loss-record,"return-type-result: Result < String >; ffi-call-unresolved-effect: map_err; closure-captures-environment: | e | SugarError :: Message (format ! (""serialize JSON: {e}"")); macro-not-expanded: format!"
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CIJobResult,handles-fully,
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CINondeterminismMode,handles-fully,
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CIReuseReason,handles-fully,
libsugar,implementations/rust/libsugar/src/ci.rs,fn,admit_identical_reuse,handles-partially-with-loss-record,return-type-result: Result < CIReuseBodyClaim >; ffi-call-unresolved-effect: validate; type-inference-assumed-int: Expr::Field; macro-not-expanded: format!; trait-path-truncated: CIJobResult :: Pass
libsugar,implementations/rust/libsugar/src/ci.rs,fn,check_ci_body,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libsugar,implementations/rust/libsugar/src/ci.rs,fn,ci_job_result_name,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libsugar,implementations/rust/libsugar/src/ci.rs,fn,cid_set,handles-partially-with-loss-record,return-type-user-defined: BTreeSet < String >; ffi-call-unresolved-effect: BTreeSet::new
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadius::cid,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_cid
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadius::validate,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadiusInput::build,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
