crate,file,item_kind,item_name,outcome,gap_summary
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,is_blake3_512_cid,refuses-with-typed-reason,unsupported-let-pattern: unsupported let-binding pattern
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,json_cid,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: json_jcs
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,json_jcs,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: json_to_cvalue
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,json_to_cvalue,refuses-with-typed-reason,block-without-tail: block expression has no single tail expression
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,serializable_cid,handles-partially-with-loss-record,return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_jcs
libprovekit,implementations/rust/libprovekit/src/canonical.rs,fn,serializable_jcs,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/ci.rs,enum,CIJobResult,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,enum,CINondeterminismMode,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,enum,CIReuseReason,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,admit_identical_reuse,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < CIReuseBodyClaim >; ffi-call-unresolved-effect: validate; type-inference-assumed-int: Expr::Field; Expr::Macro: format!; trait-path-truncated: CIJobResult :: Pass
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,check_ci_body,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,ci_job_result_name,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,cid_set,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: BTreeSet < String >; trait-path-truncated: BTreeSet :: new; ffi-call-unresolved-effect: new
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIBlastRadius::cid,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_cid
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIBlastRadius::validate,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIBlastRadiusInput::build,refuses-with-typed-reason,unsupported-stmt-call: unsupported expression statement Expr::Call
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIImpactBodyClaim::cid,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_cid
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIImpactBodyClaim::validate,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIImpactInput::build,refuses-with-typed-reason,unsupported-stmt-call: unsupported expression statement Expr::Call
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIJobResultBodyClaim::cid,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_cid
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIJobResultBodyClaim::validate,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIJobResultInput::build,refuses-with-typed-reason,unsupported-stmt-call: unsupported expression statement Expr::Call
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIReuseBodyClaim::cid,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < String >; ffi-call-unresolved-effect: serializable_cid
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIReuseBodyClaim::validate,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl CIReuseInput::build,refuses-with-typed-reason,unsupported-stmt-call: unsupported expression statement Expr::Call
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,impl Default for CINondeterminism::default,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: Self; trait-path-truncated: CINondeterminismMode :: Forbidden
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,insert_many,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,insert_required,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,message,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: ProvekitError; trait-path-truncated: ProvekitError :: Message; ffi-call-unresolved-effect: Message
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_cid_field,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_cid_vec,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_equal,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < () >; type-inference-assumed-int: Expr::Path; ffi-call-unresolved-effect: Ok; Expr::Macro: format!
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_input_cids_close,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_nonempty,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < () >; type-inference-assumed-bool: Expr::MethodCall; ffi-call-unresolved-effect: is_empty; Expr::Macro: format!
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_nonempty_strings,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < () >; ffi-call-unresolved-effect: require_nonempty
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_one_of,handles-partially-with-loss-record,procedural-macro: derive; return-type-result: Result < () >; type-inference-assumed-bool: Expr::MethodCall; ffi-call-unresolved-effect: contains; Expr::Macro: format!
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,require_producer,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/ci.rs,fn,sorted_unique,handles-partially-with-loss-record,procedural-macro: derive; return-type-vec: Vec < String >; ffi-call-unresolved-effect: collect
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIBlastRadius,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIBlastRadiusInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIImpactBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIImpactInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIJobResultBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIJobResultInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIReuseBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl CIReuseInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,impl,impl Default for CINondeterminism,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIBlastRadius,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIBlastRadiusInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIBodyCheck,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIImpactBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIImpactInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIJobResultBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIJobResultInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CINondeterminism,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIProducer,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIReuseBodyClaim,handles-fully,
libprovekit,implementations/rust/libprovekit/src/ci.rs,struct,CIReuseInput,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,const,AUTO_PROMOTE_LIFTER_CID,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,const,CCP_VERSION,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,enum,AliasingStatus,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,enum,AtomicKind,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,enum,CompositionError,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,enum,Effect,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,enum,OpacityError,handles-fully,
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::has_aliasing_memento,handles-partially-with-loss-record,procedural-macro: derive
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::has_closure_binding,handles-partially-with-loss-record,procedural-macro: derive
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::has_drop_contract,handles-partially-with-loss-record,procedural-macro: derive
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::has_loop_invariant,handles-partially-with-loss-record,procedural-macro: derive
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::has_try_branch,handles-partially-with-loss-record,procedural-macro: derive
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,OpacityMementoLookup::lookup_pin_invariant,handles-partially-with-loss-record,procedural-macro: derive; return-type-option: Option < PinInvariantMementoView >
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,aliasing_mementos_to_value,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,blocking_effects_for_steps,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,build_memento_value,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: Arc < Value >; ffi-call-unresolved-effect: build_value
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,build_value,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,cid_of_value,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: String; ffi-call-unresolved-effect: blake3_512_of
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compose_chain_contracts,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compose_chain_contracts_internal,refuses-with-typed-reason,unsupported-value-if: unsupported value expression Expr::If
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compose_function_contracts,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compose_function_contracts_checked,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compose_with_composed,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,composition_error_to_refusal,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,compound_cid,refuses-with-typed-reason,unsupported-stmt-method-call: unsupported expression statement Expr::MethodCall
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,domain_claim_fcm_tests::bare_fcm_error_is_deterministic,handles-partially-with-loss-record,procedural-macro: derive; ffi-call-unresolved-effect: minimal_fcm; trait-path-truncated: provekit_ir_types :: DomainClaim :: try_from; statement-macro: assert_eq
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,domain_claim_fcm_tests::bare_fcm_returns_unbound_contract_error,handles-partially-with-loss-record,procedural-macro: derive; ffi-call-unresolved-effect: minimal_fcm; trait-path-truncated: provekit_ir_types :: DomainClaim :: try_from; statement-macro: assert_eq
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,domain_claim_fcm_tests::minimal_fcm,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,domain_claim_fcm_tests::unbound_contract_display_is_informative,handles-partially-with-loss-record,procedural-macro: derive; ffi-call-unresolved-effect: to_string; trait-path-truncated: DomainClaimConversionError :: UnboundContract; statement-macro: assert
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,domain_claim_fcm_tests::unbound_contract_error_variant_matches,handles-partially-with-loss-record,procedural-macro: derive; ffi-call-unresolved-effect: minimal_fcm; trait-path-truncated: provekit_ir_types :: DomainClaim :: try_from; statement-macro: assert
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_args_json,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: serde_json :: Value; Expr::Macro: json!
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_classification,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_discharge_key,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_occurrence_kind,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_occurrences_for_steps,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,effect_set_cid,handles-partially-with-loss-record,procedural-macro: derive; return-type-user-defined: String; ffi-call-unresolved-effect: cid_of_value
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,evidence_cid,refuses-with-typed-reason,unsupported-value-closure: unsupported value expression Expr::Closure
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,fcm_auto_promote_tests::auto_promotion_source_kind_is_annotation,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,fcm_auto_promote_tests::auto_promotion_uses_all_zeros_sentinel_lifter_cid,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,fcm_auto_promote_tests::compound_cid_is_symmetric_with_serde_roundtrip,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,fcm_auto_promote_tests::compound_round_trips_via_json,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
libprovekit,implementations/rust/libprovekit/src/compose.rs,fn,fcm_auto_promote_tests::evidence_cid_is_symmetric_with_serde_roundtrip,refuses-with-typed-reason,unsupported-literal: unsupported literal expression
